epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.393,1.55108,1.06584,1.02992,0.77264,0.64696,0.68349,0.38032,1.36136,0.86022,0.97352,0.000664931,0.000664931,0.000664931
2,437.165,1.44618,0.89562,0.9911,0.76189,0.65512,0.68301,0.3915,1.32731,0.88524,0.9744,0.00130523,0.00130523,0.00130523
3,657.236,1.41645,0.87831,0.98593,0.78885,0.65268,0.69815,0.39683,1.29969,0.82101,0.9632,0.00191913,0.00191913,0.00191913
4,870.215,1.38313,0.85201,0.97575,0.77815,0.67182,0.70168,0.39503,1.27857,0.82899,0.96216,0.0018812,0.0018812,0.0018812
5,1077.34,1.36627,0.83715,0.97077,0.80023,0.68455,0.72528,0.42434,1.2443,0.78069,0.95196,0.0018416,0.0018416,0.0018416
6,1285.95,1.34986,0.82761,0.9673,0.80889,0.69885,0.73874,0.43819,1.20842,0.75411,0.94485,0.001802,0.001802,0.001802
7,1492.05,1.32321,0.81182,0.96419,0.81102,0.7001,0.73657,0.43168,1.22952,0.7682,0.94741,0.0017624,0.0017624,0.0017624
8,1699.24,1.3159,0.79828,0.9582,0.81613,0.69727,0.74154,0.44736,1.18365,0.73772,0.94153,0.0017228,0.0017228,0.0017228
9,1904.25,1.29344,0.79371,0.95291,0.8148,0.70861,0.7495,0.45345,1.18132,0.72358,0.94157,0.0016832,0.0016832,0.0016832
10,2113.1,1.29217,0.78552,0.95475,0.82138,0.71228,0.7532,0.46012,1.15879,0.71129,0.93576,0.0016436,0.0016436,0.0016436
11,2321.79,1.27776,0.77601,0.94995,0.82727,0.71452,0.75841,0.46408,1.14231,0.70602,0.9336,0.001604,0.001604,0.001604
12,2530.8,1.26845,0.77376,0.94722,0.82946,0.71726,0.7616,0.46803,1.14209,0.69598,0.9331,0.0015644,0.0015644,0.0015644
13,2738.72,1.25954,0.76547,0.94752,0.82761,0.71506,0.75789,0.46556,1.15241,0.70345,0.93106,0.0015248,0.0015248,0.0015248
14,2943.92,1.24727,0.7525,0.94375,0.82555,0.72232,0.76403,0.47001,1.12889,0.69874,0.93464,0.0014852,0.0014852,0.0014852
15,3146.36,1.23992,0.75086,0.94221,0.82656,0.72692,0.76877,0.4777,1.11478,0.68375,0.92922,0.0014456,0.0014456,0.0014456
16,3350.88,1.23866,0.75352,0.94254,0.83628,0.72447,0.77057,0.47982,1.10203,0.68469,0.92011,0.001406,0.001406,0.001406
17,3556.74,1.22939,0.74211,0.94044,0.83556,0.72761,0.77313,0.48241,1.10319,0.67149,0.91811,0.0013664,0.0013664,0.0013664
18,3761.91,1.2283,0.74246,0.93938,0.83765,0.72033,0.77131,0.48583,1.07958,0.67282,0.91714,0.0013268,0.0013268,0.0013268
19,3968.82,1.22752,0.74358,0.93943,0.83146,0.7251,0.77056,0.47879,1.11174,0.68076,0.92677,0.0012872,0.0012872,0.0012872
