epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.169,1.72247,1.30939,1.05738,0.71304,0.57457,0.603,0.31543,1.53006,1.03364,0.99696,0.000665797,0.000665797,0.000665797
2,468.763,1.62275,1.05438,1.02113,0.72718,0.60707,0.62574,0.33221,1.5008,1.00998,0.99872,0.00130608,0.00130608,0.00130608
3,694.36,1.58453,1.01509,1.0151,0.76879,0.62247,0.65437,0.35104,1.44599,0.92487,0.9865,0.00191997,0.00191997,0.00191997
4,914.436,1.54595,0.96591,1.00369,0.74925,0.63012,0.65813,0.36267,1.41822,0.90973,0.97885,0.0018812,0.0018812,0.0018812
5,1140.76,1.51458,0.93753,0.9963,0.78179,0.64559,0.68283,0.38304,1.36908,0.85151,0.96811,0.0018416,0.0018416,0.0018416
6,1366.96,1.4924,0.92252,0.98895,0.78389,0.65237,0.68825,0.38488,1.35546,0.84713,0.96643,0.001802,0.001802,0.001802
7,1592.66,1.47282,0.90885,0.98858,0.80113,0.65808,0.7031,0.40156,1.30958,0.81148,0.95967,0.0017624,0.0017624,0.0017624
8,1820.18,1.45931,0.89363,0.9822,0.79554,0.66471,0.70381,0.39755,1.336,0.81678,0.96509,0.0017228,0.0017228,0.0017228
9,2045.58,1.44348,0.88242,0.97921,0.80728,0.67135,0.72019,0.4173,1.28132,0.78581,0.95014,0.0016832,0.0016832,0.0016832
10,2273.63,1.43031,0.87172,0.97815,0.80211,0.6726,0.71507,0.41298,1.29537,0.78947,0.95448,0.0016436,0.0016436,0.0016436
11,2500.74,1.41263,0.85908,0.97327,0.80819,0.67937,0.71852,0.41768,1.28119,0.77857,0.95028,0.001604,0.001604,0.001604
12,2727.03,1.41412,0.85451,0.97075,0.81104,0.6796,0.72186,0.42165,1.26135,0.77351,0.94547,0.0015644,0.0015644,0.0015644
13,2953.4,1.40158,0.85136,0.97104,0.81743,0.68516,0.72971,0.4305,1.2463,0.75801,0.94308,0.0015248,0.0015248,0.0015248
14,3180.63,1.39333,0.84094,0.96875,0.81438,0.68276,0.72593,0.42327,1.25517,0.75876,0.94798,0.0014852,0.0014852,0.0014852
15,3405.1,1.38436,0.83515,0.96598,0.81037,0.68643,0.72905,0.4285,1.25005,0.76541,0.94237,0.0014456,0.0014456,0.0014456
16,3634.28,1.37504,0.83528,0.96427,0.8118,0.69082,0.73107,0.42884,1.24664,0.75767,0.9431,0.001406,0.001406,0.001406
17,3860.7,1.38019,0.8297,0.96306,0.82034,0.69761,0.74139,0.44277,1.21596,0.73512,0.93442,0.0013664,0.0013664,0.0013664
18,4085.53,1.36867,0.82195,0.96147,0.80161,0.69523,0.73291,0.43178,1.236,0.74957,0.94311,0.0013268,0.0013268,0.0013268
19,4307.27,1.36779,0.82388,0.96088,0.81925,0.69277,0.73655,0.43712,1.2234,0.74133,0.93786,0.0012872,0.0012872,0.0012872
20,4534.21,1.35688,0.81325,0.95808,0.81571,0.69269,0.7379,0.44057,1.22001,0.74302,0.93244,0.0012476,0.0012476,0.0012476
21,4757.76,1.34791,0.80885,0.95564,0.82016,0.6981,0.74353,0.4447,1.21485,0.72436,0.93512,0.001208,0.001208,0.001208
22,4983.12,1.34467,0.81078,0.95748,0.82196,0.69705,0.74203,0.44596,1.19985,0.73352,0.93232,0.0011684,0.0011684,0.0011684
23,5208.31,1.34578,0.8045,0.95495,0.81936,0.70193,0.74312,0.44073,1.22035,0.7327,0.93866,0.0011288,0.0011288,0.0011288
24,5431.22,1.33858,0.80379,0.95162,0.82355,0.702,0.74829,0.44985,1.19664,0.71907,0.93073,0.0010892,0.0010892,0.0010892
25,5653.98,1.33226,0.79849,0.95062,0.82594,0.70499,0.74884,0.45338,1.18633,0.71684,0.92633,0.0010496,0.0010496,0.0010496
26,5875.99,1.33318,0.79792,0.95239,0.82202,0.7018,0.74648,0.44891,1.20273,0.71805,0.9314,0.00101,0.00101,0.00101
27,6098.29,1.32623,0.79269,0.95081,0.82542,0.7062,0.75101,0.45465,1.18464,0.71169,0.92672,0.0009704,0.0009704,0.0009704
28,6316.09,1.31627,0.78692,0.94879,0.82574,0.70427,0.75071,0.45382,1.18954,0.70823,0.92832,0.0009308,0.0009308,0.0009308
29,6534.15,1.32069,0.78761,0.94862,0.82711,0.70352,0.7518,0.45702,1.17577,0.70531,0.92519,0.0008912,0.0008912,0.0008912
30,6753.42,1.31992,0.78229,0.94658,0.82807,0.70953,0.75593,0.45889,1.17674,0.69843,0.92682,0.0008516,0.0008516,0.0008516
31,6974.08,1.3088,0.77994,0.94504,0.82793,0.70762,0.75508,0.45875,1.1731,0.69929,0.92408,0.000812,0.000812,0.000812
32,7197.04,1.31522,0.78281,0.94534,0.82999,0.71024,0.75565,0.46228,1.16002,0.69622,0.92098,0.0007724,0.0007724,0.0007724
33,7418.74,1.30474,0.77422,0.94432,0.82886,0.71209,0.75841,0.46158,1.16411,0.69533,0.92162,0.0007328,0.0007328,0.0007328
34,7642.92,1.30165,0.77314,0.94147,0.82994,0.71206,0.7595,0.46576,1.15495,0.69068,0.91901,0.0006932,0.0006932,0.0006932
35,7865.53,1.2949,0.76976,0.94297,0.82896,0.71365,0.75881,0.46363,1.15856,0.6929,0.92118,0.0006536,0.0006536,0.0006536
36,8088.25,1.28646,0.76361,0.94277,0.82817,0.71389,0.75875,0.46295,1.16486,0.69258,0.92306,0.000614,0.000614,0.000614
37,8317.22,1.29141,0.76555,0.94108,0.83044,0.71832,0.76225,0.46777,1.15052,0.68428,0.91743,0.0005744,0.0005744,0.0005744
38,8541.51,1.28915,0.76381,0.94001,0.82802,0.71574,0.75999,0.46522,1.15821,0.68882,0.92038,0.0005348,0.0005348,0.0005348
39,8768.04,1.27992,0.75606,0.93858,0.8304,0.71736,0.76255,0.46877,1.14725,0.68128,0.91799,0.0004952,0.0004952,0.0004952
40,8995.26,1.28124,0.75491,0.93538,0.83211,0.71664,0.76196,0.46761,1.14729,0.68087,0.91941,0.0004556,0.0004556,0.0004556
41,9210.89,1.21599,0.73638,0.94289,0.83245,0.71635,0.76158,0.46792,1.14942,0.68461,0.91824,0.000416,0.000416,0.000416
42,9424.12,1.21486,0.73627,0.94115,0.8336,0.71868,0.76312,0.47091,1.13963,0.68063,0.91533,0.0003764,0.0003764,0.0003764
43,9637.95,1.20876,0.72941,0.93973,0.83386,0.717,0.76303,0.47138,1.13887,0.67798,0.91511,0.0003368,0.0003368,0.0003368
44,9849.46,1.20035,0.72292,0.93753,0.83252,0.71825,0.76462,0.47344,1.13265,0.67658,0.91244,0.0002972,0.0002972,0.0002972
45,10062.9,1.20001,0.71977,0.93821,0.83353,0.72003,0.7652,0.47304,1.1361,0.67567,0.91391,0.0002576,0.0002576,0.0002576
46,10276.2,1.19762,0.71795,0.93627,0.83826,0.71711,0.76525,0.47445,1.13093,0.67068,0.91248,0.000218,0.000218,0.000218
47,10489.2,1.19461,0.71699,0.93767,0.83823,0.71848,0.76646,0.47486,1.13025,0.67018,0.91287,0.0001784,0.0001784,0.0001784
48,10699.3,1.18539,0.71035,0.93331,0.83558,0.72098,0.76678,0.47616,1.12644,0.6686,0.91154,0.0001388,0.0001388,0.0001388
49,10911.4,1.1777,0.70718,0.93543,0.83657,0.72017,0.76632,0.47632,1.12676,0.66866,0.91194,9.92e-05,9.92e-05,9.92e-05
50,11123.6,1.17673,0.70728,0.93394,0.83749,0.72012,0.76701,0.47715,1.12395,0.66685,0.91101,5.96e-05,5.96e-05,5.96e-05
